operadora,total_lineas,prepago,pospago,participacion_mercado,participacion_internet_movil,lineas_con_internet_estimadas
Conecel (Claro),9635282,7302189,2333079,52.6,57.8,6863318
Otecel (Movistar),5420850,4344597,1076253,29.6,26.5,3146677
CNT EP,3256021,2981221,271016,17.8,15.7,1864257
